AirContaminantId	KazHydrometAirPostId	Month	PollutantConcentrationMaximumOneTimePerMonth	PollutantConcentrationMaximumOneTimePerMonthDay	PollutantConcentrationMonthlyAverage	Year	PollutantConcentrationMaximumOneTimeMonth	PollutantConcentrationMaximumOneTimePerYear	PollutantConcentrationYearlyAverage
179	3	10	0.3	29	0.101153846	2012			
179	3	9	0.4	25	0.095	2012			
179	3	2	0.6	4	0.292	2012			
179	3	1	0.5	11	0.247826087	2012			
179	3	8	0.2	8	0.102884615	2013			
179	3	4	0.1	29	0.043269231	2013			
179	3	12	0.4	24	0.120652174	2013			
179	3	7	0.1	3	0.043269231	2013			
179	3	6	0.1	3	0.043	2013			
179	3	5	0.1	2	0.026041667	2013			
179	3	3	0.3	2	0.083181818	2013			
179	3	11	0.5	29	0.124134615	2013			
179	3	10	0.5	30	0.103846154	2013			
179	3	9	0.4	14	0.105	2013			
179	3	2	0.4	2	0.138541667	2013			
179	3	1	0.8	8	0.170833333	2013			
179	3	8	0.2	19	0.098	2014			
179	3	4	0.1	1	0.042884615	2014			
179	3	12	0.2	2	0.091666667	2014			
179	3	7	0.2	1	0.100961538	2014			
179	3	6	0.2	27	0.075	2014			
179	3	5	0.1	3	0.073958333	2014			
179	3	3	0.3	1	0.080681818	2014			
179	3	11	0.1	1	0.073	2014			
179	3	10	0.2	14	0.074038462	2014			
179	3	9	0.2	30	0.098076923	2014			
179	3	2	0.5	15	0.146041667	2014			
179	3	1	0.3	9	0.105208333	2014			
179	3	8	0.2	3	0.109	2015			
179	3	4	0.2	4	0.080769231	2015			
179	3	12	0.3	4	0.114583333	2015			
179	3	7	0.1	1	0.099038462	2015			
179	3	6	0.1	1	0.092307692	2015			
179	3	5	0.2	5	0.093478261	2015			
179	3	3	0.2	2	0.092045455	2015			
179	3	11	0.3	3	0.086	2015			
179	3	10	0.6	28	0.100925926	2015			
179	3	9	0.2	16	0.0942	2015			
179	3	2	0.2	4	0.105208333	2015			
179	3	1	0.11	20	0.0834375	2015			
179	3	8	0.3	18	0.081730769	2016			
179	3	4	0.2	11	0.086538462	2016			
179	3	12	0.2	2	0.102083333	2016			
179	3	7	0.3	19	0.11	2016			
179	3	6	0.3	14	0.099038462	2016			
179	3	5	0.1	4	0.090217391	2016			
179	3	3	0.2	1	0.092391304	2016			
179	3	11	0.2	30	0.093557692	2016			
179	3	10	0.4	12	0.1125	2016			
179	3	9	0.4	1	0.1233	2016			
179	3	2	0.3	29	0.091	2016			
179	3	1	0.11	26	0.079021739	2016			
179	3	8	0.3	1	0.119230769	2017			
179	3	4	0.2	29	0.076	2017			
179	3	7	0.2	1	0.124	2017			
179	3	6	0.3	1	0.099038462	2017			
179	3	5	0.5	20	0.1196875	2017			
179	3	3	0.3	1	0.086956522	2017			
179	3	10	0.2	31	0.105769231	2017			
179	3	9	0.47	16	0.1228	2017			
179	3	2	0.2	2	0.10625	2017			
179	3	1	0.3	17	0.109021739	2017			
184	3	8	0.16	12	0.0779	2007			
184	3	4	0.11	26	0.042020202	2007			
184	3	12	0.23	31	0.099130435	2007			
184	3	7	0.18	31	0.073942308	2007			
184	3	6	0.18	23	0.07375	2007			
184	3	5	0.23	15	0.062268041	2007			
184	3	3	0.13	6	0.0515	2007			
184	3	11	0.24	30	0.110673077	2007			
184	3	10	0.25	15	0.100576923	2007			
184	3	9	0.22	19	0.094257426	2007			
184	3	2	0.18	5	0.066666667	2007			
184	3	1	0.29	29	0.114141414	2007			
184	3	8	0.14	29	0.0726	2008			
184	3	4	0.19	3	0.084711538	2008			
184	3	12	0.2	13	0.090833333	2008			
184	3	7	0.12	2	0.058557692	2008			
184	3	6	0.19	25	0.072020202	2008			
184	3	5	0.19	19	0.078865979	2008			
184	3	3	0.22	15	0.100729167	2008			
184	3	11	0.26	21	0.1123	2008			
184	3	10	0.17	7	0.085353535	2008			
184	3	9	0.19	4	0.0807	2008			
184	3	2	0.26	1	0.1319	2008			
184	3	1	0.28	31	0.145714286	2008			
184	3	8	0.24	3	0.0875	2009			
184	3	4	0.24	10	0.07970297	2009			
184	3	12	0.35	30	0.1415	2009			
184	3	7	0.24	9	0.115384615	2009			
184	3	6	0.21	16	0.073557692	2009			
184	3	5	0.18	18	0.08076087	2009			
184	3	3	0.25	12	0.109583333	2009			
184	3	11	6	11	0.2313	2009			
184	3	10	0.23	24	0.089166667	2009			
184	3	9	0.4	15	0.097019231	2009			
184	3	2	0.26	9	0.108333333	2009			
184	3	1	0.26	27	0.149782609	2009			
184	3	8	0.21	20	0.1114	2010			
184	3	4	0.21	16	0.105673077	2010			
184	3	12	0.23	10	0.1363	2010			
184	3	7	0.2	19	0.072980769	2010			
184	3	6	0.2	15	0.0725	2010			
184	3	5	0.19	20	0.08173913	2010			
184	3	3	0.28	16	0.128086957	2010			
184	3	11	0.22	26	0.1097	2010			
184	3	10	0.22	9	0.104134615	2010			
184	3	9	0.15	29	0.063076923	2010			
184	3	2	0.37	18	0.145760417	2010			
184	3	1	0.31	14	0.142840909	2010			
184	3	4	0.2	25	0.095865385	2011			
184	3	12	0.16	14	0.1007	2011			
184	3	7	0.15	5	0.03	2011			
184	3	6	0.12	1	0.058076923	2011			
184	3	5	0.15	6	0.069791667	2011			
184	3	3	0.23	3	0.127826087	2011			
184	3	11	0.11	30	0.075384615	2011			
184	3	10	0.18	13	0.087288462	2011			
184	3	9	0.17	17	0.080961538	2011			
184	3	2	0.23	12	0.121145833	2011			
184	3	1	0.23	10	0.13923913	2011			
184	3	8	0.17	17	0.094134615	2012			
184	3	4	0.19	20	0.1031	2012			
184	3	12	0.35	31	0.178586957	2012			
184	3	7	0.2	2	0.1022	2012			
184	3	6	0.2	29	0.101057692	2012			
184	3	5	0.2	29	0.0977	2012			
184	3	3	0.18	20	0.105869565	2012			
184	3	11	0.31	9	0.133365385	2012			
184	3	10	0.27	31	0.119423077	2012			
184	3	9	0.21	28	0.0993	2012			
184	3	2	0.16	18	0.1155	2012			
184	3	1	0.16	24	0.110434783	2012			
184	3	8	0.21	16	0.09125	2013			
184	3	4	0.35	20	0.141826923	2013			
184	3	12	0.8	9	0.161413043	2013			
184	3	7	0.32	17	0.103365385	2013			
184	3	6	0.22	3	0.1041	2013			
184	3	5	0.34	17	0.109270833	2013			
184	3	3	0.49	30	0.196477273	2013			
184	3	11	0.41	25	0.155769231	2013			
184	3	10	0.37	21	0.164711538	2013			
184	3	9	0.4	25	0.1288	2013			
184	3	2	0.4	19	0.1740625	2013			
184	3	1	0.43	11	0.220208333	2013			
184	3	8	0.29	5	0.1045	2014			
184	3	4	0.17	1	0.100288462	2014			
184	3	12	0.4	31	0.229479167	2014			
184	3	7	0.39	22	0.095673077	2014			
184	3	6	0.32	24	0.0938	2014			
184	3	5	0.21	29	0.089375	2014			
184	3	3	0.39	6	0.183409091	2014			
184	3	11	0.31	22	0.133	2014			
184	3	10	0.3	1	0.146346154	2014			
184	3	9	0.34	26	0.132211538	2014			
184	3	2	0.38	12	0.183020833	2014			
184	3	1	0.37	24	0.17	2014			
184	3	8	0.27	17	0.1114	2015			
184	3	4	0.32	13	0.126451923	2015			
184	3	12	0.42	31	0.210520833	2015			
184	3	7	0.3	21	0.096019231	2015			
184	3	6	0.22	6	0.108653846	2015			
184	3	5	0.38	18	0.108206522	2015			
184	3	3	0.36	28	0.157954545	2015			
184	3	11	0.29	21	0.1276	2015			
184	3	10	0.8	22	0.125092593	2015			
184	3	9	0.25	23	0.11366	2015			
184	3	2	0.36	9	0.161458333	2015			
184	3	1	0.37	16	0.187083333	2015			
184	3	8	0.42	5	0.095480769	2016			
184	3	4	0.43	16	0.148653846	2016			
184	3	12	0.29	15	0.118854167	2016			
184	3	7	0.25	13	0.1178	2016			
184	3	6	0.33	8	0.088951923	2016			
184	3	5	0.39	25	0.130782609	2016			
184	3	3	0.43	5	0.173586957	2016			
184	3	11	0.43	3	0.126846154	2016			
184	3	10	0.21	31	0.100480769	2016			
184	3	9	0.32	14	0.0957	2016			
184	3	2	0.44	22	0.235	2016			
184	3	1	0.32	4	0.166956522	2016			
184	3	8	0.29	31	0.10625	2017			
184	3	4	0.21	25	0.0698	2017			
184	3	7	0.21	27	0.0663	2017			
184	3	6	0.15	2	0.068365385	2017			
184	3	5	0.5	4	0.071979167	2017			
184	3	3	0.62	1	0.109413043	2017			
184	3	10	0.28	28	0.108461538	2017			
184	3	9	0.26	11	0.1164	2017			
184	3	2	0.3	7	0.115625	2017			
184	3	1	0.37	19	0.113478261	2017			
187	3	8	0.038	15	0.00951	2007			
187	3	4	0.037	5	0.011747475	2007			
187	3	12	0.05	12	0.018467391	2007			
187	3	7	0.029	4	0.007951923	2007			
187	3	6	0.031	23	0.010423077	2007			
187	3	5	0.031	16	0.007257732	2007			
187	3	3	0.166	3	0.03063	2007			
187	3	11	0.05	5	0.016442308	2007			
187	3	10	0.054	27	0.012605769	2007			
187	3	9	0.033	19	0.010554455	2007			
187	3	2	0.056	1	0.017260417	2007			
187	3	1	0.096	18	0.016828283	2007			
187	3	8	0.039	21	0.01165	2008			
187	3	4	0.05	5	0.012548077	2008			
187	3	12	0.074	13	0.019010417	2008			
187	3	7	0.039	28	0.012115385	2008			
187	3	6	0.035	3	0.011818182	2008			
187	3	5	0.046	14	0.013061856	2008			
187	3	3	0.054	28	0.011583333	2008			
187	3	11	0.209	22	0.02115	2008			
187	3	10	0.039	31	0.012424242	2008			
187	3	9	0.1	20	0.01255	2008			
187	3	2	0.33	27	0.02621	2008			
187	3	1	0.185	30	0.029296703	2008			
187	3	8	0.038	15	0.01283	2009			
187	3	4	0.068	2	0.012148515	2009			
187	3	12	0.069	28	0.02034	2009			
187	3	7	0.075	15	0.016817308	2009			
187	3	6	0.03	16	0.011865385	2009			
187	3	5	0.02	25	0.00726087	2009			
187	3	3	0.049	6	0.018104167	2009			
187	3	11	0.031	4	0.00945	2009			
187	3	10	0.07	28	0.01112037	2009			
187	3	9	0.024	19	0.010201923	2009			
187	3	2	0.07	16	0.0215	2009			
187	3	1	0.077	22	0.022402174	2009			
187	3	8	0.028	3	0.0087	2010			
187	3	4	0.06	3	0.015730769	2010			
187	3	12	0.093	31	0.02478	2010			
187	3	7	0.04	8	0.011653846	2010			
187	3	6	0.05	26	0.012	2010			
187	3	5	0.036	17	0.011434783	2010			
187	3	3	0.075	30	0.019956522	2010			
187	3	11	0.081	29	0.02142	2010			
187	3	10	0.071	26	0.016711538	2010			
187	3	9	0.04	15	0.011673077	2010			
187	3	2	0.118	17	0.036052083	2010			
187	3	1	0.069	29	0.024488636	2010			
187	3	4	0.036	6	0.007490385	2011			
187	3	12	0.036	26	0.01099	2011			
187	3	7	0.032	28	0.01128	2011			
187	3	6	0.033	25	0.009326923	2011			
187	3	5	0.045	21	0.010541667	2011			
187	3	3	0.088	14	0.01725	2011			
187	3	11	0.098	29	0.010576923	2011			
187	3	10	0.027	24	0.008028846	2011			
187	3	9	0.053	19	0.011278846	2011			
187	3	2	0.061	12	0.0186875	2011			
187	3	1	0.109	8	0.033532609	2011			
187	3	8	0.022	13	0.007740385	2012			
187	3	4	0.019	2	0.00713	2012			
187	3	12	0.037	10	0.01173913	2012			
187	3	7	0.022	18	0.00657	2012			
187	3	6	0.026	30	0.006855769	2012			
187	3	5	0.022	11	0.00626	2012			
187	3	3	0.026	31	0.009054348	2012			
187	3	11	0.098	6	0.018759615	2012			
187	3	10	0.06	16	0.015711538	2012			
187	3	9	0.038	10	0.0094	2012			
187	3	2	0.04	16	0.01875	2012			
187	3	1	0.093	9	0.017293478	2012			
187	3	8	0.043	5	0.012807692	2013			
187	3	4	0.029	24	0.011211538	2013			
187	3	12	0.034	10	0.012608696	2013			
187	3	7	0.021	31	0.006913462	2013			
187	3	6	0.026	4	0.01017	2013			
187	3	5	0.026	10	0.010572917	2013			
187	3	3	0.059	12	0.015011364	2013			
187	3	11	0.067	8	0.017221154	2013			
187	3	10	0.048	9	0.014144231	2013			
187	3	9	0.031	6	0.01017	2013			
187	3	2	0.031	20	0.013447917	2013			
187	3	1	0.035	4	0.014322917	2013			
187	3	8	0.026	15	0.010626	2014			
187	3	4	0.043	30	0.006788462	2014			
187	3	12	0.036	22	0.011447917	2014			
187	3	7	0.055	11	0.014028846	2014			
187	3	6	0.036	30	0.01001	2014			
187	3	5	0.082	14	0.00925	2014			
187	3	3	0.023	29	0.007681818	2014			
187	3	11	0.048	28	0.01504	2014			
187	3	10	0.042	11	0.012855769	2014			
187	3	9	0.033	15	0.010971154	2014			
187	3	2	0.043	18	0.015364583	2014			
187	3	1	0.042	25	0.011375	2014			
187	3	8	0.032	4	0.01248	2015			
187	3	4	0.024	7	0.009038462	2015			
187	3	12	0.11	28	0.017020833	2015			
187	3	7	0.03	8	0.011336538	2015			
187	3	6	0.038	18	0.009711538	2015			
187	3	5	0.043	21	0.012293478	2015			
187	3	3	0.055	6	0.014386364	2015			
187	3	11	0.069	30	0.01364	2015			
187	3	10	0.02	31	0.009186111	2015			
187	3	9	0.063	2	0.01174	2015			
187	3	2	0.059	6	0.012971875	2015			
187	3	1	0.036	31	0.01050625	2015			
187	3	8	0.049	6	0.011903846	2016			
187	3	4	0.045	30	0.014125	2016			
187	3	12	0.025	5	0.011614583	2016			
187	3	7	0.062	5	0.01585	2016			
187	3	6	0.048	6	0.017375	2016			
187	3	5	0.045	6	0.013858696	2016			
187	3	3	0.052	7	0.01626087	2016			
187	3	11	0.052	24	0.011923077	2016			
187	3	10	0.043	22	0.013519231	2016			
187	3	9	0.075	22	0.01573	2016			
187	3	2	0.065	24	0.02084	2016			
187	3	1	0.038	15	0.014326087	2016			
187	3	8	0.034	3	0.010009615	2017			
187	3	4	0.059	5	0.01343	2017			
187	3	7	0.048	18	0.01342	2017			
187	3	6	0.06	12	0.010134615	2017			
187	3	5	0.039	15	0.014520833	2017			
187	3	3	0.028	1	0.009315217	2017			
187	3	10	0.018	13	0.003775	2017			
187	3	9	0.05	21	0.00724	2017			
187	3	2	0.03	7	0.009058333	2017			
187	3	1	0.05	16	0.014456522	2017			
188	3	8	5	11	0.82	2007			
188	3	4	6	5	1.333333333	2007			
188	3	12	11	31	3.054347826	2007			
188	3	7	2	31	0.663461538	2007			
188	3	6	2	23	0.625	2007			
188	3	5	7	17	0.886597938	2007			
188	3	3	10	5	2.61	2007			
188	3	11	4	30	1.221153846	2007			
188	3	10	3	3	0.826923077	2007			
188	3	9	2	26	0.722772277	2007			
188	3	2	14	8	3.635416667	2007			
188	3	1	16	23	4.545454546	2007			
188	3	8	3	20	0.72	2008			
188	3	4	4	17	1.115384615	2008			
188	3	12	10	13	4.59375	2008			
188	3	7	2	28	0.634615385	2008			
188	3	6	2	21	0.53	2008			
188	3	5	2	31	0.587628866	2008			
188	3	3	5	11	1.958333333	2008			
188	3	11	14	1	3.79	2008			
188	3	10	7	3	1.808080808	2008			
188	3	9	4.8	9	1.479	2008			
188	3	2	10	13	2.94	2008			
188	3	1	11	26	4.538461539	2008			
188	3	8	5	3	1.1	2009			
188	3	4	21	14	6.574257426	2009			
188	3	12	18	15	5.44	2009			
188	3	7	3	31	1.663461539	2009			
188	3	6	10	8	3.25	2009			
188	3	5	10	13	5.27173913	2009			
188	3	3	11	3	5.552083333	2009			
188	3	11	10	11	1.7	2009			
188	3	10	10	15	2.064814815	2009			
188	3	9	7.2	12	1.6375	2009			
188	3	2	12	19	6.010416667	2009			
188	3	1	15	27	7.19673913	2009			
188	3	8	4	26	1.35	2010			
188	3	4	7	2	1.240384615	2010			
188	3	12	20	9	4.24	2010			
188	3	7	3	3	1.182692308	2010			
188	3	6	8	19	1.182692308	2010			
188	3	5	3	13	1.173913044	2010			
188	3	3	9	9	2.619565217	2010			
188	3	11	12	26	3.47	2010			
188	3	10	5	11	1.836538462	2010			
188	3	9	5	6	1.288461539	2010			
188	3	2	12	2	4.15625	2010			
188	3	1	19	28	5.840909091	2010			
188	3	4	6	22	1.384615385	2011			
188	3	12	19	24	3.32	2011			
188	3	7	3	29	1.31	2011			
188	3	6	3	6	1.269230769	2011			
188	3	5	3	14	1.239583333	2011			
188	3	3	11	10	2.565217391	2011			
188	3	11	16	17	2.644230769	2011			
188	3	10	9	17	1.865384615	2011			
188	3	9	4	30	1.403846154	2011			
188	3	2	8	15	2.84375	2011			
188	3	1	15	10	5.065217391	2011			
188	3	8	3	31	1.375	2012			
188	3	4	5	12	1.23	2012			
188	3	12	17	31	5.326086957	2012			
188	3	7	3	5	1.39	2012			
188	3	6	3	30	1.288461539	2012			
188	3	5	2	2	1.16	2012			
188	3	3	8	16	1.717391304	2012			
188	3	11	12	28	2.740384615	2012			
188	3	10	7	20	1.894230769	2012			
188	3	9	6	26	1.63	2012			
188	3	2	10	17	3.72	2012			
188	3	1	13	11	4.282608696	2012			
188	3	8	3	2	1.221153846	2013			
188	3	4	4	17	1.423076923	2013			
188	3	12	10	4	3.545978261	2013			
188	3	7	3	3	1.326923077	2013			
188	3	6	5	25	1.38	2013			
188	3	5	3	18	1.135416667	2013			
188	3	3	7	6	2.238636364	2013			
188	3	11	14	25	3.817307692	2013			
188	3	10	7	25	1.875	2013			
188	3	9	7	24	1.62	2013			
188	3	2	13	21	3.8125	2013			
188	3	1	27	8	5.34375	2013			
188	3	8	4	29	2.08	2014			
188	3	4	5	10	1.701923077	2014			
188	3	12	13	6	5.427083333	2014			
188	3	7	5	11	2	2014			
188	3	6	9	25	2.03	2014			
188	3	5	4	29	1.677083333	2014			
188	3	3	10	6	3.397727273	2014			
188	3	11	9	14	3.15	2014			
188	3	10	9	6	2.625	2014			
188	3	9	6	25	2.106730769	2014			
188	3	2	12	18	3.502083333	2014			
188	3	1	9	13	3.489583333	2014			
188	3	8	8	5	2.48	2015			
188	3	4	5	2	1.903846154	2015			
188	3	12	12	15	4.602083333	2015			
188	3	7	8	16	2.778846154	2015			
188	3	6	5	5	1.980769231	2015			
188	3	5	4	6	1.760869565	2015			
188	3	3	6	7	1.704545455	2015			
188	3	11	10	28	2.414141414	2015			
188	3	10	6	10	1.950925926	2015			
188	3	9	6	1	1.85	2015			
188	3	2	11	6	3.46875	2015			
188	3	1	11	3	4.291666667	2015			
188	3	8	2	1	0.764423077	2016			
188	3	4	4	22	1.25	2016			
188	3	12	12	26	2.010416667	2016			
188	3	7	4	4	1.22	2016			
188	3	6	4	10	1.634615385	2016			
188	3	5	3	10	1.27173913	2016			
188	3	3	9	5	1.869565217	2016			
188	3	11	9	28	1.769230769	2016			
188	3	10	4	31	1.192307692	2016			
188	3	9	3	2	1.09	2016			
188	3	2	8	5	2.962	2016			
188	3	1	11	8	3.239130435	2016			
188	3	8	2	15	0.5025	2017			
188	3	4	2	3	0.62	2017			
188	3	7	1	1	0.47	2017			
188	3	6	2	21	0.461538462	2017			
188	3	5	2	5	0.592708333	2017			
188	3	3	3.5	1	0.89673913	2017			
188	3	10	4	12	1.173076923	2017			
188	3	9	2	4	0.602	2017			
188	3	2	8	16	1.84375	2017			
188	3	1	8	19	1.967391304	2017			
276	3	8	0.003	9	0.00066	2007			
276	3	4	0.004	21	0.000575758	2007			
276	3	12	0.006	31	0.00123913	2007			
276	3	7	0.002	3	0.000471154	2007			
276	3	6	0.005	25	0.000894231	2007			
276	3	5	0.006	14	0.001092784	2007			
276	3	3	0.006	11	0.00069	2007			
276	3	11	0.004	29	0.001125	2007			
276	3	10	0.004	31	0.000759615	2007			
276	3	9	0.006	12	0.000920792	2007			
276	3	2	0.002	20	0.000822917	2007			
276	3	1	0.008	22	0.001646465	2007			
276	3	8	0.006	15	0.00114	2008			
276	3	4	0.006	22	0.000740385	2008			
276	3	12	0.007	4	0.00134375	2008			
276	3	7	0.001	31	0.000596154	2008			
276	3	6	0.002	30	0.000767677	2008			
276	3	5	0.007	3	0.000896907	2008			
276	3	3	0.003	19	0.000697917	2008			
276	3	11	0.008	18	0.00112	2008			
276	3	10	0.005	2	0.001121212	2008			
276	3	9	0.005	4	0.00093	2008			
276	3	2	0.01	2	0.0019	2008			
276	3	1	0.008	3	0.001120879	2008			
276	3	8	0.005	1	0.00147	2009			
276	3	4	0.007	16	0.001079208	2009			
276	3	12	0.007	11	0.00212	2009			
276	3	7	0.007	17	0.001144231	2009			
276	3	6	0.009	30	0.001240385	2009			
276	3	5	0.002	16	0.000456522	2009			
276	3	3	0.006	26	0.001291667	2009			
276	3	11	0.012	12	0.001975	2009			
276	3	10	0.008	12	0.001148148	2009			
276	3	9	0.005	10	0.000961538	2009			
276	3	2	0.004	16	0.000958333	2009			
276	3	1	0.005	8	0.001945652	2009			
276	3	8	0.003	31	0.00059	2010			
276	3	4	0.004	6	0.000490385	2010			
276	3	12	0.008	10	0.00253	2010			
276	3	7	0.007	23	0.001134615	2010			
276	3	6	0.008	18	0.000817308	2010			
276	3	5	0.003	19	0.000445652	2010			
276	3	3	0.008	17	0.001445652	2010			
276	3	11	0.006	11	0.00143	2010			
276	3	10	0.006	26	0.000903846	2010			
276	3	9	0.004	10	0.000576923	2010			
276	3	2	0.013	22	0.002770833	2010			
276	3	1	0.009	12	0.002522727	2010			
276	3	4	0.005	1	0.000625	2011			
276	3	12	0.006	10	0.0013	2011			
276	3	7	0.004	22	0.00056	2011			
276	3	6	0.006	6	0.000519231	2011			
276	3	5	0.004	31	0.000385417	2011			
276	3	3	0.003	10	0.00048913	2011			
276	3	11	0.004	30	0.000788462	2011			
276	3	10	0.004	12	0.000644231	2011			
276	3	9	0.005	30	0.000701923	2011			
276	3	2	0.003	2	0.0008125	2011			
276	3	1	0.005	31	0.001565217	2011			
276	3	8	0.008	23	0.001509615	2012			
276	3	4	0.003	9	0.00041	2012			
276	3	12	0.009	5	0.002402174	2012			
276	3	7	0.007	24	0.00126	2012			
276	3	6	0.007	21	0.001375	2012			
276	3	5	0.005	31	0.00068	2012			
276	3	3	0.006	3	0.001423913	2012			
276	3	11	0.006	27	0.000701923	2012			
276	3	10	0.007	30	0.000596154	2012			
276	3	9	0.007	11	0.00123	2012			
276	3	2	0.007	11	0.00151	2012			
276	3	1	0.006	11	0.000967391	2012			
276	3	8	0.007	20	0.001019231	2013			
276	3	4	0.006	26	0.000586538	2013			
276	3	12	0.01	6	0.001978261	2013			
276	3	7	0.006	19	0.001108654	2013			
276	3	6	0.009	8	0.00157	2013			
276	3	5	0.005	17	0.00059375	2013			
276	3	3	0.005	13	0.000931818	2013			
276	3	11	0.008	6	0.002096154	2013			
276	3	10	0.008	31	0.001057692	2013			
276	3	9	0.006	23	0.0007	2013			
276	3	2	0.008	4	0.001854167	2013			
276	3	1	0.01	8	0.001114583	2013			
276	3	8	0.007	28	0.00082	2014			
276	3	4	0.006	15	0.000625	2014			
276	3	12	0.009	2	0.003302083	2014			
276	3	7	0.008	29	0.000836538	2014			
276	3	6	0.007	11	0.00087	2014			
276	3	5	0.006	12	0.000895833	2014			
276	3	3	0.003	7	0.000238636	2014			
276	3	11	0.007	27	0.00106	2014			
276	3	10	0.009	20	0.001394231	2014			
276	3	9	0.007	18	0.001048077	2014			
276	3	2	0.004	6	0.0005625	2014			
276	3	1	0.006	20	0.000447917	2014			
276	3	8	0.009	17	0.00183	2015			
276	3	4	0.01	1	0.001384615	2015			
276	3	12	0.006	8	0.00178125	2015			
276	3	7	0.008	14	0.001086538	2015			
276	3	6	0.006	1	0.001395192	2015			
276	3	5	0.009	21	0.002467391	2015			
276	3	3	0.013	25	0.001602273	2015			
276	3	11	0.007	12	0.00144	2015			
276	3	10	0.004	22	0.000768519	2015			
276	3	9	0.004	8	0.00065	2015			
276	3	2	0.01	4	0.002927083	2015			
276	3	1	0.009	23	0.002395833	2015			
276	3	8	0.007	5	0.000865385	2016			
276	3	4	0.006	2	0.002259615	2016			
276	3	12	0.009	19	0.001989583	2016			
276	3	7	0.005	7	0.00133	2016			
276	3	6	0.005	2	0.000951923	2016			
276	3	5	0.006	10	0.000945652	2016			
276	3	3	0.006	3	0.001163043	2016			
276	3	11	0.006	30	0.001009615	2016			
276	3	10	0.006	13	0.000759615	2016			
276	3	9	0.006	28	0.00137	2016			
276	3	2	0.009	5	0.0018	2016			
276	3	1	0.008	9	0.001923913	2016			
276	3	8	0.005	29	0.000846154	2017			
276	3	4	0.009	7	0.00159	2017			
276	3	7	0.008	13	0.00095	2017			
276	3	6	0.009	23	0.001326923	2017			
276	3	5	0.012	6	0.003020833	2017			
276	3	3	0.006	27	0.001076087	2017			
276	3	10	0.008	5	0.001394231	2017			
276	3	9	0.009	25	0.00164	2017			
276	3	2	0.01	2	0.001520833	2017			
276	3	1	0.009	4	0.001804348	2017			
230	3	8	0.019	23	0.00827	2007			
230	3	4	0.016	5	0.00720202	2007			
